name,content,url,type,summary
國泰金,迎接 2024 年開春求職潮，國泰金 () 今 (5) 日宣布，攜手旗下五大子公司人壽、銀行、證券、產險、投信，今年度祭出徵才逾 7000 職缺，範疇包含五大職系儲備幹部、財投精算、業務菁英、數位科技、營運企劃，號召跨域、跨界的多元人才加入國泰，年薪上看百萬。國泰金說明，歷年求職者詢問度最高為國泰金控旗下三大儲備幹部計畫，今年總計祭出 45 名職缺招募海內外優秀人才，凡過關斬將被錄用並通過考核者，首年皆享年薪百萬，包含有國泰金控 GMA(Group/Global Management Associate)，培育跨領域金融通才，以集團視角整合跨公司資源，規劃發展策略，開創新商模，除了有完善的培育計畫與資源外，有潛力但無工作經驗者亦有機會錄取。國泰世華銀行 CMA(Cathay Management Associate)，鎖定具跨域學習及跨國移動能力之潛力人才，搭配金融專業及客群規劃經營能力養成，成為本行金融轉型及海內外佈局的推動力，培養歷程包括於營業單位、產品部門及數位發展領域或海外分支機構進行輪調實作，養成專業能力及前中後台視野思維。為在亞太佈局多元人才，號召具東南亞國籍 / 僑外身份、熟悉東南亞語系，並對金融業充滿熱情的菁英加入。國泰人壽 CIM(Cathay Investment Manager)，提供國內首屈一指投資買方的資源及歷練機會，幫助奠定最精實的投資專業能力，新任 MA 一年內就能接觸到波段交易單位、價值投資單位與投資管理等單位，為業界最完整投資金融培育歷程；儲備幹部計畫將統一於 1 月底開放申請至 4 月 1 日截止。國泰世華銀行今年徵才將持續鎖定金融數位轉型、財管業務通路及海外佈局相關人才，並提供包括數據分析師、個法金 ARM、海外金融市場研究人員等重點職缺，並提供員工全新的職場體驗，邁向全新的金融職涯高峰。國泰人壽推出領航新秀 (PSA) 徵才計劃，召募具服務熱忱、嫻熟數位工具之壽險顧問，除了有豐富的集團資源做後盾以及專屬的數位平台協助新人快速上手外，還提供扎實的基礎培育課程和 7700 堂線上訓練。國泰證券近年來數位發展快速，今年仍以數位科技人才為主軸，徵求對數位金融、資訊科技有興趣的潛力之星加入行列。此外，由於海外金融商品受到投資人高度青睞，國泰證券於國內複委託業務占有重要領導地位，希望能延攬海外商品銷售專業人才加入。國泰產險除廣招金融保險專才、數位數據等轉型推手外，今年特色在於尋找非金融保險人才於產險領域開創機會，例如損害防阻 (風險控制) 人員、火險工程人員、海上保險人員等，除力邀商管、保險、統計等人才，亦歡迎土木、環境、安全衛生、航運等優秀理工專業好手加入產險拓展職涯。而去年 ETF 大熱，身為全台第一大資產管理公司的國泰投信，擁有約百位的龐大投資團隊，平均研究年資達 16 年，今年大舉增加招募於投資研究和數位科技等人才，職缺包括投資研究團隊人員、營運專案人員、AI 投資數據分析人員、數位程式開發及數位行銷人員等，為鼓勵同仁進修，設置優渥的專業證照獎勵辦法，培育全方位金融人才。,https://news.cnyes.com/news/id/5425510,p,迎接2024年開春求職潮，國泰金今日宣布，攜手旗下五大子公司人壽、銀行、證券、產險、投信，今年度祭出徵才逾7000職缺，範疇包含五大職系儲備幹部、財投精算、業務菁英、數位科技、營運企劃，號召跨域、跨界的多元人才加入國泰，年薪上看百萬。為在亞太佈局多元人才，號召具東南亞國籍/僑外身份、熟悉東南亞語系，並對金融業充滿熱情的菁英加入。
穩懋,砷化鎵指標大廠穩懋 () 今 (5) 日公布 12 月營收 16.67 億元，月增 3.53%，年增 52.02%，受到旺季效應加持，穩懋 12 月營收除寫下 19 個月以來新高外，更是繳出連 3 個月的月年雙增佳績。 穩懋 12 月營收 16.67 億元，月增 3.53%，年增 52.02%，第四季營收 48.68 億元，季增 16.88%，年增 37.85%，累計 2023 全年營收 158.36 億元，年減 13.62%。 市場看好 WiFi 7 後市，認為今年將迎來 WiFi 7 元年，加上市場傳出多家品牌廠，包括三星、小米、OPPO，甚至是蘋果，都有望在手機導入 WiFi 7。若手機陸續導入 WiFi 7，將帶動 PA 需求，穩懋看好 WiFi 未來兩至三年的發展，且需觀察後續 WiFi 6E 以及 WiFi 7 的滲透率，能否導入至更多的產品中。,https://news.cnyes.com/news/id/5425511,p, 穩懋12月營收16.67億元，月增3.53%，年增52.02%，第四季營收48.68億元，季增16.88%，年增37.85%，累計2023全年營收158.36億元，年減13.62%。
智邦,網通廠智邦 () 今 (5) 日公告 2023 年 12 月營收 79.28 億元，累計全年營收 841.88 億元，年增近 10%。受惠網路資料中心硬體動能持續增溫，看好 2024 年營運雙位數成長。 智邦去年 12 月營收 79.28 億元，月增 15.72%，年減 9.61。不過，智邦累計 2023 全年營收 841.88 億元，年增 9.04%，創下歷史新高。 智邦指出，由於機器學習以及 AI 需求持續增溫，帶動網路資料中心硬體需求，因此在高階網路交換器以及網卡加速器的拉貨力道跟著加大。此外，智邦的 400G 與 800G 交換器產品也有新進度，可望帶動智邦今年整體營運有雙位數的成長。,https://news.cnyes.com/news/id/5425449,p,網通廠智邦今日公告2023年12月營收79.28億元，累計全年營收841.88億元，年增近10%。受惠網路資料中心硬體動能持續增溫，看好2024年營運雙位數成長。 智邦去年12月營收79.28億元，月增15.72%，年減9.61。不過，智邦累計2023全年營收841.88億元，年增9.04%，創下歷史新高。
貿聯-KY,連接線貿聯 - KY() 今 (5) 日公告去年 12 月營收 34.88 億元，月減 15.8%、年減 13%，探 23 個月新低；第四季營收 121.17 億元，季減 7.9%、年減 10.9%，則為 7 季新低；全年營收 509.03 億元，年減 5.1%。貿聯表示，12 月由於歐美耶誕、新年假期導致工作日減少，導致整體出貨量降低，若以美元表達，12 月營收 1.11 億美元，月減 14%、年增 14.4%；2023 年營收 16.34 億元，年減 9.25%。12 月各產品表現來看，貿聯說明，工業用線束中，半導體設備與醫療客戶出貨量持平前月，但其他工業產品受假期工作天數減少出貨量下降，電器用線束也因假期工作天數因素，整體出貨量較低。資訊用線束方面，周邊設備客戶出貨量減少，高效能運算 (HPC) 客戶出貨量持續增加；車用線束中，非電動車客戶出貨量下降，不過電動汽車客戶的出貨量增長。,https://news.cnyes.com/news/id/5425441,n,連接線貿聯-KY今日公告去年12月營收34.88億元，月減15.8%、年減13%，探23個月新低；第四季營收121.17億元，季減7.9%、年減10.9%，則為7季新低；全年營收509.03億元，年減5.1%。
玉山金,金控業將陸續公布 2023 年 12 月自結獲利，玉山金 () 今 (5) 日打頭陣揭曉成果，單月稅後純益 14.7 億元，每股稅後純益 (EPS)0.1 元；累計全年稅後純益 217.6 億元，創歷年新高，年增 38%，EPS 為 1.41 元。觀察玉山金主要子公司表現，玉山銀行去年 12 月稅後純益 12.64 億元，每股純益 0.11 元；累計全年稅後純益 196 億元，年增 32.3%，每股純益 1.72 元。玉山銀行穩健發展放款業務，截至 2023 年 12 月底，合併存款餘額達 3 兆 260 億元；合併放款總數為 2 兆 892 億元。玉山證券去年 12 月稅後純益 1.13 億元，每股純益 0.28 元，全年累計稅後純益 12.9 億元，年增 28.4%，每股純益 3.22 元。玉山創投去年 12 月稅後純益 0.57 億元，每股純益 0.13 元，全年繳出亮眼成績，累計稅後純益 12.1 億元，年增 1374.1%，每股純益 2.69 元。金管會號召成立的永續金融先行者聯盟，由玉山金擔任第二屆輪值主席，總經理陳茂欽宣示，承諾在「綠色採購」、「資訊揭露」、「投融資與議合」、「協助與推廣」及「國際接軌」五大議題採取更積極作為。玉山金主動參與台灣碳權交易所首批國際碳權交易，大手筆購入 5000 噸，將用於自身金融產品及服務碳中和，以實際作為響應政府 2050 淨零轉型目標。,https://news.cnyes.com/news/id/5425409,p,金控業將陸續公布2023年12月自結獲利，玉山金今日打頭陣揭曉成果，單月稅後純益14.7億元，每股稅後純益0.1元；累計全年稅後純益217.6億元，創歷年新高，年增38%，EPS為1.41元。玉山銀行穩健發展放款業務，截至2023年12月底，合併存款餘額達 3兆260億元；合併放款總數為2兆892億元。
億光,LED 廠億光 () 今 (5) 日公布去年 12 月營收 14.49 億元，月減 3.2%，年增 4.7%。億光預期，今年第一季因工作天數較少，因此將與去年第四季持平，整體營運穩定。 億光去年 12 月營收 14.49 億元，月減 3.2%，年增 4.7%，累計 2023 年全年營收 178.14 億元，年減 10.29%。 億光指出，由於 2 月適逢農曆春節，因此第一季的工作天數較少，整體營運將與去年第四季持平。億光先前於法說會指出，受到特斯拉降價的影響已逐漸縮小，未來將持續布局車用領域，車用產品有望在 2024 年呈雙位數成長。 除車用產品有望帶動營運，包括消費性電子、第三代半導體封測、工控設備以及不可見光等產品，也都是億光重要成長動能。,https://news.cnyes.com/news/id/5425440,p,LED廠億光今日公布去年12月營收14.49億元，月減3.2%，年增4.7%。億光預期，今年第一季因工作天數較少，因此將與去年第四季持平，整體營運穩定。 億光去年12月營收14.49億元，月減3.2%，年增4.7%，累計2023年全年營收178.14億元，年減10.29%。
聯詠,驅動 IC 大廠聯詠 () 今 (5) 日公告去年第四季營收，達 271.54 億元，略高於財測高標 271 億元，累計去年全年為 1104.29 億元，年增 0.43%，也較前年轉為正成長。外資預期，OLED 驅動 IC 將是聯詠今年的主要成長動能，未來若 iPhone 需求提升，將有助市場評價提高。聯詠去年第四季受 AR/VR 專案出貨告一段落，12 月營收降至 86.79 億元，下探 10 個月來低點，月減 3.01%，年增 11.72%，第四季合併營收 271.54 億元，季減 6.14%，年增 21.12%，優於原先預估的 261-271 億元。展望今年，聯詠認為，隨著產業庫存去化至健康水位，明年客戶將恢復往常拉貨模式，營運也恢復季節性走勢，並預期手機、電視、PC 與車用都有機會呈現正成長。尤其在 PC/NB 方面，隨著 AI 新規格問世，預期明年 PC/NB 會有換機潮，在高階機種領域，看好規格提升對聯擁有不錯的成長機會；電視 SOC 則因有新產品、新客戶加入，展望也樂觀；車用也將持續成長；ASIC 業績也有相當不錯的表現。,https://news.cnyes.com/news/id/5425438,p,外資預期，OLED驅動IC將是聯詠今年的主要成長動能，未來若iPhone需求提升，將有助市場評價提高。聯詠去年第四季受AR/VR專案出貨告一段落，12月營收降至86.79億元，下探10個月來低點，月減3.01%，年增11.72%，第四季合併營收271.54億元，季減6.14%，年增21.12%，優於原先預估的261-271億元。
台積電,台灣光罩 () 今 (5) 日公告去年營收約 72 億元，較前年小減 7%，主要為轉投資子公司受半導體景氣影響，但市場普遍看好，今年產業景氣將自第二季、第三季開始復甦，在客戶需求回籠，以及新開出的高階製程產能發酵，光罩今年營運將拚新高。光罩去年 12 月營收 6.45 億元，月增 3.58%，年增 7.59%，第四季合併營收 18.81 億元，季減 3.79%，年減 4.57%，累計去年全年營收 72 億元，年減 6.99%。光罩指出，目前成熟製程光罩產能利用率維持滿載，高階光罩製程歷經數個月的送樣與認證，近期 90 至 55 奈米製程的高階光罩已陸續獲得晶圓代工大廠的認證通過，進案量持續增加，可望帶動公司今年營收逐季向上。光罩近年擴大布局高階光罩，也與晶圓代工大廠客戶經歷長時間的認證與合作，且在公司隨著客戶擴充產能下，將優先承接代工訂單，看好高階光罩的在整體營收占比將持續攀升，預期今年獲利表現將再創新高。,https://news.cnyes.com/news/id/5425344,p,光罩去年12月營收6.45億元，月增3.58%，年增7.59%，第四季合併營收18.81億元，季減3.79%，年減4.57%，累計去年全年營收72億元，年減6.99%。
上銀,工具機關鍵零組件大廠上銀 () 今 (5) 日公告去年 12 月合併營收 18.46 億元，月減 3.4%、年增 10%；第四季營收 57.59 億元，季減 12.18%，年增 2.95%；2023 年累計營收 246.34 億元，年減近 16%。法人指出，12 月受到歐、美耶誕假期、客戶盤點庫存等影響，且終端需求仍不明朗，使得上銀單月出貨量略遜於前一月。上銀董事長卓文恒日前表示，市場需求低迷，景氣何時回溫目前還不明朗，但若外在環境未有太大變化，預估明年第一季產業景氣可望觸底。目前線性滑軌和滾珠螺桿平均訂單能見度約 1.5 個月左右，客戶多以急單為主。從應用端來看，卓文恒指出，目前新能源、鋰電池、航太、電動車等自動化應用需求持穩，去年半導體應用趨緩，但預期今年、甚至 2025 年會很不錯。上銀集團旗下大銀微系統 () 同日公布 2023 年 12 月營收 1.99 億元，月減 5.56%、年減 18.77%，第四季營收 5.99 億元，月增 17.73%、年減 16.2%，累計全年營收 22.24 億元，年減 31.1%。,https://news.cnyes.com/news/id/5425236,n,工具機關鍵零組件大廠上銀今日公告去年12月合併營收18.46億元，月減3.4%、年增10%；第四季營收57.59億元，季減12.18%，年增2.95%；2023年累計營收246.34億元，年減近16%。
聯電,晶圓代工大廠聯電 () 今 (5) 日公告去年 12 月營收，受客戶需求趨緩影響，單月營收降至 169.79 億元，探 10 個月來低點，全年也降至 2225 億元，年減 2 成，展望今年，外資看好，聯電隨著產業景氣回溫，稼動率也將在下半年回升，帶動營收重返成長，約 2476 億元，年增約 11% 左右。聯電去年 12 月營收 169.79 億元，月減 9.63%，年減 18.94%，第四季合併營收 549.58 億元，季減 3.7%，年減 18.99%，累計去年全年營收 2225.33 億元，年減 20.15%。外資今日出具報告指出，隨著邏輯晶片庫存回補需求復甦，聯電下半年的產能利用率將有所改善，恢復至 75-80%，定價也有彈性，因此將評等調升為優於大盤，目標價為 60 元。 針對面臨中國晶圓代工產能擴張影響，外資認為，由於台積電 () 價格策略相當堅定，有助其他代工廠捍衛價格，加上聯電今年 28/40 奈米產品組合轉佳，包括 28 奈米的 OLED 驅動 IC、高階 CIS 與 ISP，還有 40 奈米的 RF SOI 與汽車 MCU，皆有助聯電今年代工價格保持彈性。外資預期，聯電 28 奈米新產能大部分將在今年第三季開始加入生產，推動平均售價走高，新加坡廠 (Fab 12i) 的 28/22 奈米產能，最快可能在 2025 年底上線。此外，聯電與英特爾 () 在 12 奈米製程 IP 方面的合作，將對其股價產生積極影響，也驗證聯電在 28 奈米之後的技術路線圖。,https://news.cnyes.com/news/id/5425331,p,聯電去年12月營收169.79億元，月減9.63%，年減18.94%，第四季合併營收549.58億元，季減3.7%，年減18.99%，累計去年全年營收2225.33億元，年減20.15%。此外，聯電與英特爾在12奈米製程IP方面的合作，將對其股價產生積極影響，也驗證聯電在28奈米之後的技術路線圖。
